(2272,79723) 65299 81854 97008 53578 490 28396 98776 101483 49678 50427 32691 78128 68662 22679 52123 35220 38890 95869 20086 55812 80598 60014 70048 98326 987 16977 10488 74421 18066 73224 22648 78288 107478 61099 24442 59165 18949 20004 14319 99613 90020 32176 108024 87339 15478 12736 83322 13693 46280 39899 55838 6591 6817 93747 93209 103330 60087 19666 41208 58644 49286 67880 102371 6494 38152 52190 100306 65873 100974 74500 28640 56148 83244 76375 21032 205 72699 96365 87960 59626 31333 29033 60229 34561 73690 45943 10606 73554 87709 63654 2576 87315 37710 91172 13964 107137 110610 30848 4012
(2486,6355) 37393 107488 15494 26473 95349 6109 30123 95255 84545 15595 91461 64695 74112 92030 60722 74054 84983 42069 106793 107501 104357 35081 58392 94842 21873 37207 106542 109782 102575 7551 110028 74000 11189 96583 32781 105328 24768 79381 37927 6607 5570 74239 65220 95892 95397 108761 94995 37767 8499 8625 42916 82316 58880 57027 19047 75267 104254 54238 42401 85785 101696 70492 57970 56984 2668 57184 18701 106805 39851 61836 53355 42088 13541 77908 61057 62246 67225 49104 8118 19589 23609 81078 24293 36138 99940 55590 21623 48669 45668 85691 8040 81565 106622 83641 65359 45402 57839 92796 89492
(2407,2826) 98875 60536 46272 37951 5921 16296 21062 74429 16701 60221 38375 96742 92982 50804 54362 107490 76867 43035 108571 7109 40923 89775 61298 3393 73909 41240 47167 110376 101271 33218 105203 98357 56263 28558 40952 86188 35534 74223 105257 37844 22102 89856 107586 9874 36172 97800 57703 80795 36363 93867 13386 3056 7598 14343 66749 45934 2071 53012 80079 46886 94088 21167 1428 31380 55827 12594 67556 40297 50987 49507 4137 79389 64109 98455 84228 54409 39871 95819 26504 11495 58547 5740 23090 111171 16180 79994 8656 83322 10650 3543 59326 81309 101673 87682 88616 53574 6266 109096 10422
(2477,22010) 39433 40876 98186 87173 89565 89819 34195 78331 68746 102178 84171 38699 72417 101585 95165 105012 82825 91569 6493 33722 93167 98918 100608 51015 91091 49616 17969 11096 55117 43753 57862 61074 42718 43092 38437 26443 62406 75784 26203 65250 52937 19552 18966 81365 427 97383 39495 28057 46491 48528 3484 81087 103350 92340 67388 56047 55596 87113 25104 15328 100675 80430 82488 53989 57892 71436 50827 36321 107370 24332 56466 67182 62132 10091 34384 61851 66458 35640 73160 47895 85771 5988 15362 9782 19217 9227 85527 27691 53513 107023 47092 57158 96812 110158 43655 105584 62532 29995 91963
(1479,2414) 12999 77340 28530 8168 42418 18188 16728 104528 79540 24389 62981 56581 97252 61333 4767 60626 35176 61596 97941 79038 37648 63442 63387 2048 41897 28540 31646 13431 59717 12643 71692 6228 105291 20592 108247 10356 76131 62842 38025 86753 77089 106286 49698 10294 2672 38650 53664 41306 50735 1798 109164 57380 36075 12345 108734 6700 9814 55089 9671 53236 107598 13977 75185 48692 83830 73129 43015 42899 88207 14794 110647 95607 23011 83856 10233 11069 27029 82278 95327 13265 54461 5585 82790 8108 77368 47067 4902 99842 34581 50413 23530 66468 5925 75526 70658 15471 84193 32113 33363
(2178,526) 38827 73606 44808 22786 98121 35897 13819 20432 103689 65033 58835 87617 54571 64810 45636 90676 78984 86710 22086 30576 65997 84626 21856 86434 68386 11463 79522 54199 55318 26068 80305 97375 5942 59489 2770 71309 86284 75202 79881 79157 84751 97678 823 48117 20168 77759 39382 43669 13037 73610 51080 77320 73067 78734 78918 40489 66884 29784 80779 93112 64075 97816 26967 90599 49900 47641 41024 42259 82376 109354 17763 62687 70989 21032 31163 39230 71380 110992 30869 103585 101052 105398 91524 39548 49159 73084 47314 88288 57774 110889 94503 55188 84369 19216 110432 97054 43094 24769 105353
(2258,1675) 67479 18346 81109 109887 93868 96268 78696 49973 50762 25021 19008 77573 53505 66793 6967 84358 26843 105329 5913 60975 5480 100016 28328 51387 42608 53477 70506 97901 9938 62045 36947 55068 35355 50338 82983 47617 61463 96152 2399 74387 74477 19454 94058 106631 12745 102967 51432 89721 18154 89884 59730 83207 26899 81359 58364 85836 49241 66994 40371 67569 98008 26728 28009 50890 18209 35026 71319 75995 9997 77688 102650 53174 15038 36714 58554 27772 15134 41524 54610 19377 32126 20608 43289 108230 52813 67965 59790 33254 108123 94271 22307 73894 67488 9955 52825 13954 87662 64325 69242
(1917,18316) 44151 20253 17796 56908 75700 65236 47084 95212 33355 31911 69664 24312 43138 10378 10720 110794 50603 62005 37220 10991 92987 28042 58569 48742 61500 7252 44273 88599 65711 39509 96202 94435 84269 110510 23 69634 80601 88722 93971 98125 86216 17954 686 103723 72230 28175 56776 81074 69714 94655 56546 72982 29388 36782 61909 85766 18924 99620 10864 1569 51904 4324 97335 57124 2997 47567 38638 106158 13632 27994 4873 6575 52659 68095 23754 7814 52458 85514 29756 22054 102490 15864 12420 44181 71775 89220 55533 56107 109836 80432 50224 75898 77464 74673 93318 51287 48714 76277 53989
(409,44172) 99566 21974 107486 11556 75865 87927 101290 33727 2729 106232 64010 74561 89829 84129 32694 5556 57109 108894 26587 16989 91317 27287 22739 46788 59352 74802 53878 11030 59925 72238 101923 9185 96786 78736 92704 99646 75112 105448 38288 49287 9152 1859 51642 14058 101967 42659 97669 762 21704 109136 78412 102615 47693 32829 52808 68510 102318 75341 46874 105317 87599 103589 47084 20078 22837 41258 4969 28962 44803 85936 109607 77672 40588 49366 32213 24455 68480 44055 19558 95745 5480 33443 3664 6671 22132 88743 104788 19175 33552 65535 42093 56243 60192 55892 68899 91116 39641 44618 108613
(1822,36500) 46541 54529 88593 62492 3639 44526 30443 107746 70802 28616 71425 73587 20162 82882 84139 36699 40239 92948 84557 84255 75436 99795 100550 101519 76150 98087 84540 97368 78864 33401 31707 71070 82583 15305 23602 25617 39522 41191 80841 47994 3551 52559 48080 47504 24229 16518 87590 26324 94776 36619 110080 56068 96933 64738 85438 44907 4381 47541 98831 20092 30198 23972 103142 67910 93572 42756 60779 8842 4115 15611 4870 33639 76385 87368 78742 91648 3739 84591 106340 91101 29821 29534 42902 98562 65173 102093 47129 71817 23420 39258 6918 87279 28364 47354 74334 26563 81595 100064 28618
